"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"November 24","My baby 💔 #mlp #mylittlepony #animatic #art #oc","https://www.tiktok.com/@starismagic/video/7567910330341281054","November 1","91","3","5","2360"
"November 24","#descendants3 #mlp #animatic #traditional #art","https://www.tiktok.com/@starismagic/video/6725356254274800901","August 15","266","3","5","1522"
"November 24","I couldn’t decide which way to draw it lol #mlp #mylittlepony #mlpoc #speedpaint #pegasus ","https://www.tiktok.com/@starismagic/video/7538214286288506143","August 13","54","2","0","516"
"November 24","Replying to @Violet haze  Hope you like it! I had a ton of fun drawing her 💖 #mlp #mylittlepony #art #speedpaint #digitalart #mlpoc","https://www.tiktok.com/@starismagic/video/7531750462035414303","July 27","66","4","0","466"
"November 24","#SoCloseToWhat ","https://www.tiktok.com/@starismagic/video/7478374163212766495","March 5","7","0","0","453"
"November 24","Happy Valentine's Day!!! 💘 #mlp #valentinesday #mylittlepony #art #mylittleponyfriendshipismagic #mlpoc #animatic #harvey #pegasus ","https://www.tiktok.com/@starismagic/video/7471413746888412446","February 14","42","0","0","441"
"November 24","💖💗 #mlp #mylittlepony #oc #speedpaint #pegasus ","https://www.tiktok.com/@starismagic/video/7568305213224914207","November 2","44","3","0","440"
"November 24","Tw: light cartoon blood Just a little lore thing for Lux #mlp #mylittlepony #mylittleponyfriendshipismagic #mlpoc #animatic #art #oc #pegasus","https://www.tiktok.com/@starismagic/video/7499919823669873951","May 2","35","1","0","436"
"November 24","Something I made for me and my boyfriends anniversary! 💖💞 I made a full version but TikTok wouldn’t let me upload it lol #animatic #art #digitalart #mlpoc #mlp #oc #cute #pegasus","https://www.tiktok.com/@starismagic/video/7521774428984757534","June 30","43","2","3","370"
"November 24","First ever design of Starbelle 💖 #mlp #mylittlepony #speedpaint #occhallenge #mlpoc ","https://www.tiktok.com/@starismagic/video/7570148077168905503","November 7","24","3","0","369"
"November 24","Teasing  #mlp #mylittlepony #speedpaint #oc #pegasus ","https://www.tiktok.com/@starismagic/video/7568687693073321246","November 3","43","3","0","366"
"November 24","I like your spots 💞❤️ #mlp #mylittlepony #mylittleponyfriendshipismagic #ilikeyourspots #mlpoc #oc #art #digitalart #unicorn #animatic ","https://www.tiktok.com/@starismagic/video/7468029088805031199","February 5","40","1","0","365"
"November 24","Spooky hallway #mlp #mylittlepony #halloween #oc #speedpaint","https://www.tiktok.com/@starismagic/video/7566702544647474462","October 29","36","3","0","364"
"November 24","Fluttershy slight redesign speedpaint  #mlp #mylittlepony #mylittleponyfriendshipismagic #fluttershy #speedpaint","https://www.tiktok.com/@starismagic/video/7498160697495293214","April 27","31","3","1","350"
"November 24","My part of an art trade with @𖤐🦌Sapphire edits𖤐  Had a ton of fun drawing them! 🩷💗💖 #mlp #mylittlepony #oc #speedpaint #art","https://www.tiktok.com/@starismagic/video/7568928378397543711","November 4","36","6","0","338"
