"Date","Followers","Difference in followers from previous day"
"November 23","230","1"
"November 24","231","0"
"November 25","231","0"
"November 26","231","0"
"November 27","231","1"
"November 28","232","0"
"November 29","232","0"
"November 30","232","0"
"December 1","232","0"
"December 2","232","0"
"December 3","232","0"
"December 4","232","0"
"December 5","232","0"
"December 6","232","0"
"December 7","232","1"
"December 8","233","0"
"December 9","233","0"
"December 10","233","-1"
"December 11","232","0"
"December 12","232","0"
"December 13","232","0"
"December 14","232","0"
"December 15","232","0"
"December 16","232","0"
"December 17","232","0"
"December 18","232","0"
"December 19","232","0"
"December 20","232","0"
"December 21","232","0"
"December 22","232","0"
"December 23","232","0"
"December 24","232","0"
"December 25","232","0"
"December 26","232","0"
"December 27","232","0"
"December 28","232","0"
"December 29","232","0"
"December 30","232","0"
"December 31","232","0"
"January 1","232","0"
"January 2","232","0"
"January 3","232","0"
"January 4","232","0"
"January 5","232","0"
"January 6","232","0"
"January 7","232","0"
"January 8","232","0"
"January 9","232","0"
"January 10","232","-1"
"January 11","231","0"
"January 12","231","0"
"January 13","231","1"
"January 14","232","0"
"January 15","232","0"
"January 16","232","0"
"January 17","232","0"
"January 18","232","0"
"January 19","232","0"
"January 20","232","0"
"January 21","232","0"
"January 22","232","0"
"January 23","232","0"
"January 24","232","0"
"January 25","232","0"
"January 26","232","0"
"January 27","232","-1"
"January 28","231","0"
"January 29","231","0"
"January 30","231","0"
"January 31","231","0"
"February 1","231","0"
"February 2","231","1"
"February 3","232","0"
"February 4","232","-1"
"February 5","231","0"
"February 6","231","0"
"February 7","231","0"
"February 8","231","0"
"February 9","231","0"
"February 10","231","0"
"February 11","231","0"
"February 12","231","0"
"February 13","231","0"
"February 14","231","2"
"February 15","233","0"
"February 16","233","0"
"February 17","233","0"
"February 18","233","0"
"February 19","233","0"
"February 20","233","1"
"February 21","234","1"
"February 22","235","0"
"February 23","235","0"
"February 24","235","0"
"February 25","235","0"
"February 26","235","0"
"February 27","235","0"
"February 28","235","0"
"March 1","235","0"
"March 2","235","1"
"March 3","236","-1"
"March 4","235","0"
"March 5","235","0"
"March 6","235","0"
"March 7","235","0"
"March 8","235","0"
"March 9","235","0"
"March 10","235","0"
"March 11","235","0"
"March 12","235","0"
"March 13","235","0"
"March 14","235","0"
"March 15","235","0"
"March 16","235","0"
"March 17","235","0"
"March 18","235","0"
"March 19","235","0"
"March 20","235","0"
"March 21","235","0"
"March 22","235","0"
"March 23","235","0"
"March 24","235","0"
"March 25","235","0"
"March 26","235","0"
"March 27","235","0"
"March 28","235","0"
"March 29","235","1"
"March 30","236","1"
"March 31","237","0"
"April 1","237","0"
"April 2","237","0"
"April 3","237","0"
"April 4","237","0"
"April 5","237","1"
"April 6","238","0"
"April 7","238","0"
"April 8","238","0"
"April 9","238","0"
"April 10","238","-1"
"April 11","237","0"
"April 12","237","0"
"April 13","237","0"
"April 14","237","0"
"April 15","237","1"
"April 16","238","-1"
"April 17","237","0"
"April 18","237","0"
"April 19","237","0"
"April 20","237","0"
"April 21","237","1"
"April 22","238","0"
"April 23","238","0"
"April 24","238","0"
"April 25","238","0"
"April 26","238","0"
"April 27","238","1"
"April 28","239","0"
"April 29","239","0"
"April 30","239","0"
"May 1","239","1"
"May 2","240","0"
"May 3","240","0"
"May 4","240","0"
"May 5","240","0"
"May 6","240","0"
"May 7","240","0"
"May 8","240","0"
"May 9","240","0"
"May 10","240","0"
"May 11","240","1"
"May 12","241","0"
"May 13","241","0"
"May 14","241","0"
"May 15","241","0"
"May 16","241","0"
"May 17","241","0"
"May 18","241","0"
"May 19","241","0"
"May 20","241","0"
"May 21","241","0"
"May 22","241","0"
"May 23","241","0"
"May 24","241","0"
"May 25","241","0"
"May 26","241","1"
"May 27","242","0"
"May 28","242","1"
"May 29","243","0"
"May 30","243","0"
"May 31","243","0"
"June 1","243","0"
"June 2","243","0"
"June 3","243","0"
"June 4","243","0"
"June 5","243","0"
"June 6","243","0"
"June 7","243","0"
"June 8","243","0"
"June 9","243","0"
"June 10","243","0"
"June 11","243","0"
"June 12","243","0"
"June 13","243","0"
"June 14","243","0"
"June 15","243","0"
"June 16","243","0"
"June 17","243","0"
"June 18","243","0"
"June 19","243","0"
"June 20","243","0"
"June 21","243","0"
"June 22","243","0"
"June 23","243","0"
"June 24","243","0"
"June 25","243","1"
"June 26","244","0"
"June 27","244","0"
"June 28","244","0"
"June 29","244","0"
"June 30","244","0"
"July 1","244","0"
"July 2","244","0"
"July 3","244","0"
"July 4","244","0"
"July 5","244","0"
"July 6","244","0"
"July 7","244","0"
"July 8","244","0"
"July 9","244","1"
"July 10","245","-1"
"July 11","244","0"
"July 12","244","0"
"July 13","244","0"
"July 14","244","0"
"July 15","244","0"
"July 16","244","-2"
"July 17","242","-1"
"July 18","241","0"
"July 19","241","0"
"July 20","241","0"
"July 21","241","0"
"July 22","241","2"
"July 23","243","0"
"July 24","243","0"
"July 25","243","0"
"July 26","243","-1"
"July 27","242","2"
"July 28","244","0"
"July 29","244","0"
"July 30","244","1"
"July 31","245","0"
"August 1","245","0"
"August 2","245","0"
"August 3","245","0"
"August 4","245","0"
"August 5","245","0"
"August 6","245","1"
"August 7","246","0"
"August 8","246","0"
"August 9","246","0"
"August 10","246","0"
"August 11","246","0"
"August 12","246","0"
"August 13","246","1"
"August 14","247","1"
"August 15","248","0"
"August 16","248","0"
"August 17","248","1"
"August 18","249","1"
"August 19","250","0"
"August 20","250","0"
"August 21","250","0"
"August 22","250","0"
"August 23","250","0"
"August 24","250","0"
"August 25","250","0"
"August 26","250","0"
"August 27","250","0"
"August 28","250","0"
"August 29","250","1"
"August 30","251","0"
"August 31","251","0"
"September 1","251","0"
"September 2","251","0"
"September 3","251","0"
"September 4","251","0"
"September 5","251","0"
"September 6","251","0"
"September 7","251","0"
"September 8","251","1"
"September 9","252","0"
"September 10","252","0"
"September 11","252","0"
"September 12","252","0"
"September 13","252","0"
"September 14","252","0"
"September 15","252","1"
"September 16","253","0"
"September 17","253","0"
"September 18","253","0"
"September 19","253","0"
"September 20","253","2"
"September 21","255","0"
"September 22","255","2"
"September 23","257","0"
"September 24","257","-2"
"September 25","255","0"
"September 26","255","0"
"September 27","255","0"
"September 28","255","0"
"September 29","255","0"
"September 30","255","-1"
"October 1","254","1"
"October 2","255","0"
"October 3","255","0"
"October 4","255","0"
"October 5","255","0"
"October 6","255","0"
"October 7","255","0"
"October 8","255","0"
"October 9","255","0"
"October 10","255","0"
"October 11","255","0"
"October 12","255","0"
"October 13","255","0"
"October 14","255","0"
"October 15","255","0"
"October 16","255","0"
"October 17","255","0"
"October 18","255","0"
"October 19","255","0"
