"Date","Total Viewers","New Viewers","Returning Viewers"
"November 24","4","2","2"
"November 25","2","1","1"
"November 26","2","1","1"
"November 27","1","1","0"
"November 28","2","2","0"
"November 29","1","1","0"
"November 30","2","2","0"
"December 1","3","1","2"
"December 2","3","3","0"
"December 3","3","3","0"
"December 4","4","4","0"
"December 5","2","2","0"
"December 6","3","1","2"
"December 7","2","0","2"
"December 8","2","2","0"
"December 9","4","3","1"
"December 10","1","1","0"
"December 11","5","4","1"
"December 12","3","3","0"
"December 13","3","2","1"
"December 14","2","2","0"
"December 15","2","1","1"
"December 16","2","1","1"
"December 17","1","1","0"
"December 18","5","5","0"
"December 19","4","4","0"
"December 20","3","2","1"
"December 21","3","3","0"
"December 22","3","2","1"
"December 23","4","4","0"
"December 24","4","3","1"
"December 25","7","3","4"
"December 26","5","3","2"
"December 27","2","1","1"
"December 28","2","2","0"
"December 29","3","1","2"
"December 30","2","1","1"
"December 31","4","1","3"
"January 1","1","0","1"
"January 2","4","3","1"
"January 3","0","0","0"
"January 4","1","0","1"
"January 5","2","1","1"
"January 6","5","3","2"
"January 7","5","3","2"
"January 8","0","0","0"
"January 9","0","0","0"
"January 10","1","0","1"
"January 11","5","5","0"
"January 12","1","1","0"
"January 13","2","1","1"
"January 14","1","1","0"
"January 15","3","1","2"
"January 16","3","3","0"
"January 17","3","1","2"
"January 18","8","5","3"
"January 19","3","1","2"
"January 20","2","1","1"
"January 21","5","2","3"
"January 22","2","1","1"
"January 23","4","3","1"
"January 24","3","2","1"
"January 25","4","3","1"
"January 26","3","1","2"
"January 27","2","2","0"
"January 28","3","3","0"
"January 29","3","2","1"
"January 30","4","4","0"
"January 31","1","0","1"
"February 1","1","0","1"
"February 2","4","3","1"
"February 3","4","2","2"
"February 4","1","1","0"
"February 5","253","234","19"
"February 6","51","40","11"
"February 7","4","2","2"
"February 8","1","1","0"
"February 9","6","3","3"
"February 10","4","3","1"
"February 11","2","1","1"
"February 12","1","1","0"
"February 13","3","1","2"
"February 14","104","98","6"
"February 15","211","188","23"
"February 16","25","23","2"
"February 17","10","7","3"
"February 18","3","2","1"
"February 19","3","2","1"
"February 20","2","1","1"
"February 21","2","2","0"
"February 22","3","2","1"
"February 23","2","1","1"
"February 24","0","0","0"
"February 25","1","1","0"
"February 26","2","1","1"
"February 27","5","2","3"
"February 28","4","2","2"
"March 1","4","3","1"
"March 2","1","1","0"
