"Date","Video Views","Profile Views","Likes","Comments","Shares"
"November 23","2","0","0","0","0"
"November 24","11","2","0","0","0"
"November 25","2","0","0","0","0"
"November 26","1","1","0","0","0"
"November 27","1","0","0","0","0"
"November 28","3","1","0","0","0"
"November 29","2","0","0","0","0"
"November 30","0","0","0","0","0"
"December 1","5","0","0","0","0"
"December 2","3","0","0","0","0"
"December 3","6","0","0","0","0"
"December 4","1","1","0","0","0"
"December 5","3","0","0","0","0"
"December 6","2","0","0","0","0"
"December 7","2","0","0","0","0"
"December 8","3","1","0","0","0"
"December 9","6","1","0","0","0"
"December 10","5","0","0","0","0"
"December 11","2","2","0","0","0"
"December 12","13","1","1","0","0"
"December 13","3","0","0","0","0"
"December 14","3","0","0","0","0"
"December 15","6","1","0","0","0"
"December 16","4","0","0","0","0"
"December 17","0","0","0","0","0"
"December 18","6","0","0","0","0"
"December 19","5","1","0","0","0"
"December 20","4","1","0","0","0"
"December 21","3","0","0","0","0"
"December 22","5","0","0","0","0"
"December 23","3","0","0","0","0"
"December 24","10","0","5","0","0"
"December 25","17","0","0","0","0"
"December 26","8","0","0","0","0"
"December 27","7","1","0","0","0"
"December 28","2","0","0","0","0"
"December 29","9","3","0","0","0"
"December 30","3","1","0","0","0"
"December 31","7","0","1","0","0"
"January 1","1","1","0","0","0"
"January 2","19","0","0","0","0"
"January 3","0","3","0","0","0"
"January 4","3","0","0","0","0"
"January 5","6","1","0","0","0"
"January 6","20","2","0","0","0"
"January 7","118","2","1","0","0"
"January 8","0","0","0","0","0"
"January 9","0","0","0","0","0"
"January 10","2","1","0","0","0"
"January 11","8","0","1","0","0"
"January 12","3","0","0","0","0"
"January 13","3","0","0","0","0"
"January 14","0","0","0","0","0"
"January 15","11","2","2","1","0"
"January 16","2","0","0","0","0"
"January 17","7","0","0","0","0"
"January 18","11","1","0","0","0"
"January 19","3","0","0","0","0"
"January 20","1","0","0","0","0"
"January 21","18","3","1","0","0"
"January 22","30","1","0","0","0"
"January 23","14","0","0","0","0"
"January 24","3","1","0","0","0"
"January 25","14","1","3","0","0"
"January 26","4","0","0","0","0"
"January 27","2","0","0","0","0"
"January 28","3","0","0","0","0"
"January 29","2","1","0","0","0"
"January 30","3","3","0","0","0"
"January 31","1","0","0","0","0"
"February 1","1","2","0","0","0"
"February 2","4","1","0","0","0"
"February 3","5","2","0","0","0"
"February 4","2","0","0","0","0"
"February 5","346","5","37","2","0"
"February 6","52","0","4","0","0"
"February 7","3","2","0","0","0"
"February 8","2","0","0","0","0"
"February 9","9","3","0","0","0"
"February 10","2","1","0","0","0"
"February 11","4","1","0","0","0"
"February 12","0","2","0","0","0"
"February 13","4","0","0","0","0"
"February 14","121","5","12","0","0"
"February 15","245","7","27","0","0"
"February 16","12","3","1","0","0"
"February 17","2","0","0","0","0"
"February 18","4","0","1","0","0"
"February 19","114","1","0","0","0"
"February 20","2","0","0","0","0"
"February 21","4","2","0","0","0"
"February 22","1","2","0","0","0"
"February 23","3","1","0","0","0"
"February 24","0","0","0","0","0"
"February 25","1","0","0","0","0"
"February 26","4","2","0","0","0"
"February 27","14","0","0","0","0"
"February 28","7","1","0","0","0"
"March 1","3","1","0","0","0"
"March 2","1","1","0","0","0"
"March 3","6","3","0","0","0"
"March 4","0","1","0","0","0"
"March 5","116","1","1","0","0"
"March 6","37","1","0","0","0"
"March 7","150","1","2","0","0"
"March 8","132","3","1","0","0"
"March 9","1","0","0","0","0"
"March 10","6","1","0","0","0"
"March 11","1","0","0","0","0"
"March 12","9","2","2","1","0"
"March 13","2","0","0","0","0"
"March 14","8","1","0","0","0"
"March 15","6","0","0","0","0"
"March 16","4","1","0","0","0"
"March 17","4","1","0","0","0"
"March 18","1","0","0","0","0"
"March 19","3","0","0","0","0"
"March 20","2","0","0","0","0"
"March 21","7","0","0","0","0"
"March 22","4","0","0","0","0"
"March 23","1","0","0","0","0"
"March 24","6","1","0","0","0"
"March 25","2","1","1","0","0"
"March 26","2","0","1","0","0"
"March 27","2","0","0","0","0"
"March 28","5","0","0","0","0"
"March 29","6","2","1","0","0"
"March 30","4","2","1","0","0"
"March 31","0","1","0","0","0"
"April 1","3","0","0","0","0"
"April 2","0","0","0","0","0"
"April 3","1","0","0","0","0"
"April 4","2","0","0","0","0"
"April 5","5","0","0","0","0"
"April 6","0","1","0","0","0"
"April 7","12","1","0","0","0"
"April 8","7","0","0","0","0"
"April 9","1","0","0","0","0"
"April 10","0","1","0","0","0"
"April 11","0","0","0","0","0"
"April 12","0","1","0","0","0"
"April 13","1","0","0","0","0"
"April 14","0","0","0","0","0"
"April 15","0","0","0","0","0"
"April 16","306","4","26","1","0"
"April 17","24","1","3","1","0"
"April 18","5","0","0","0","0"
"April 19","7","0","0","0","0"
"April 20","2","1","0","0","0"
"April 21","26","0","0","0","0"
"April 22","3","1","0","0","0"
"April 23","0","1","0","0","0"
"April 24","3","0","0","0","0"
"April 25","1","0","0","0","0"
"April 26","0","0","0","0","0"
"April 27","15","0","0","0","0"
"April 28","344","7","27","3","1"
"April 29","24","1","3","1","0"
"April 30","2","1","0","0","0"
"May 1","1","0","0","0","0"
"May 2","352","1","29","1","0"
"May 3","22","0","1","0","0"
"May 4","25","0","1","0","0"
"May 5","100","0","1","0","0"
"May 6","8","0","0","0","0"
"May 7","8","0","0","0","0"
"May 8","6","0","0","0","0"
"May 9","18","2","1","0","0"
"May 10","3","0","0","0","0"
"May 11","3","0","1","0","0"
"May 12","6","1","0","0","0"
"May 13","9","0","0","0","0"
"May 14","6","0","0","0","0"
"May 15","3","0","0","0","0"
"May 16","8","0","0","0","0"
"May 17","4","0","0","0","0"
"May 18","6","1","0","0","0"
"May 19","3","1","0","0","0"
"May 20","4","0","0","0","0"
"May 21","0","1","0","0","0"
"May 22","1","0","0","0","0"
"May 23","0","0","0","0","0"
"May 24","11","0","0","0","0"
"May 25","9","0","0","0","0"
"May 26","1","1","0","0","0"
"May 27","3","3","0","0","0"
"May 28","4","0","0","0","0"
"May 29","15","1","1","0","0"
"May 30","74","1","0","0","0"
"May 31","13","6","1","0","0"
"June 1","2","0","0","0","0"
"June 2","0","1","0","0","0"
"June 3","5","1","0","0","0"
"June 4","9","1","0","0","0"
"June 5","6","0","0","0","0"
"June 6","10","18","0","0","0"
"June 7","7","22","0","0","0"
"June 8","4","13","0","0","0"
"June 9","12","11","0","0","0"
"June 10","4","7","0","0","0"
"June 11","3","2","0","0","0"
"June 12","3","11","0","0","0"
"June 13","2","28","0","0","0"
"June 14","7","19","0","0","0"
"June 15","1","10","0","0","0"
"June 16","2","7","0","0","0"
"June 17","3","17","0","0","0"
"June 18","3","8","0","0","0"
"June 19","0","7","0","0","0"
"June 20","14","5","0","0","0"
"June 21","4","1","0","0","0"
"June 22","4","4","0","0","0"
"June 23","4","0","0","0","0"
"June 24","10","0","0","0","0"
"June 25","1","1","0","0","0"
"June 26","0","3","0","0","0"
"June 27","5","2","0","0","0"
"June 28","7","0","0","0","0"
"June 29","2","1","0","0","0"
"June 30","269","5","29","2","0"
"July 1","101","3","9","0","4"
"July 2","3","2","0","0","0"
"July 3","17","2","0","0","0"
"July 4","8","0","1","0","0"
"July 5","3","0","0","0","0"
"July 6","11","0","1","0","0"
"July 7","5","2","0","0","0"
"July 8","5","1","0","0","0"
"July 9","3","0","1","0","0"
"July 10","11","1","1","0","0"
"July 11","4","0","0","0","0"
"July 12","4","0","0","0","0"
"July 13","5","0","0","0","0"
"July 14","1","0","0","0","0"
"July 15","5","0","0","0","0"
"July 16","1","0","0","0","0"
"July 17","7","1","0","0","0"
"July 18","0","0","0","0","0"
"July 19","7","0","0","0","0"
"July 20","84","0","0","0","0"
"July 21","6","0","0","0","0"
"July 22","171","2","8","2","0"
"July 23","119","2","15","0","1"
"July 24","3","0","0","0","0"
"July 25","9","0","0","0","0"
"July 26","14","2","1","0","0"
"July 27","212","6","20","0","0"
"July 28","312","4","40","4","0"
"July 29","20","1","0","0","0"
"July 30","9","1","1","0","0"
"July 31","10","2","0","0","0"
"August 1","8","2","0","0","0"
"August 2","2","0","0","0","0"
"August 3","6","0","0","0","0"
"August 4","87","1","1","0","0"
"August 5","88","1","1","0","0"
"August 6","3","0","0","0","0"
"August 7","21","2","2","0","0"
"August 8","15","0","0","0","0"
"August 9","3","1","0","0","0"
"August 10","2","0","0","0","0"
"August 11","3","0","0","0","0"
"August 12","7","0","1","0","0"
"August 13","47","0","1","0","0"
"August 14","233","5","24","0","0"
"August 15","48","1","5","2","0"
"August 16","9","0","1","0","0"
"August 17","17","2","2","0","0"
"August 18","86","3","11","1","0"
"August 19","86","1","11","0","0"
"August 20","41","0","1","0","0"
"August 21","3","0","1","0","0"
"August 22","77","2","3","0","0"
"August 23","107","5","10","0","0"
"August 24","58","2","8","0","0"
"August 25","5","1","1","0","0"
"August 26","5","0","0","0","0"
"August 27","16","2","0","0","0"
"August 28","4","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","30","0","1","0","0"
"August 31","21","0","0","0","0"
"September 1","5","2","1","0","0"
"September 2","6","0","1","0","0"
"September 3","4","0","0","0","0"
"September 4","1","0","0","0","0"
"September 5","1","0","0","0","0"
"September 6","1","0","0","0","0"
"September 7","2","0","0","0","0"
"September 8","57","1","6","0","0"
"September 9","41","2","2","0","5"
"September 10","38","0","0","0","0"
"September 11","5","0","0","0","0"
"September 12","15","0","0","0","0"
"September 13","6","1","1","0","0"
"September 14","3","0","0","0","0"
"September 15","17","0","0","0","0"
"September 16","3","1","0","0","0"
"September 17","6","0","0","0","0"
"September 18","16","0","0","0","0"
"September 19","2","0","0","0","0"
"September 20","0","0","0","0","0"
"September 21","7","0","0","0","0"
"September 22","12","1","2","0","0"
